,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,SbjNum,NSE,NSEv1,NSEv2,edad,edadx,DNI,sexo,dep,prov,dist,zona,zona2,zona3,zonali,zonali2,region,area,ambito,ambito2,edu,edu2,ocupa,ocupa2,p01,p02,p02otros,p02cod,p03,p03otros,p03cod,p04,p05_1,p05_2,p05_3,p06,p07,p08,p13,p14,p15,p16,p17,p18,p21,m1,rolhogar,rolhogar2,D12,seguro2_1,seguro2_2,seguro2_3,seguro2_4,jubila,emitedoc_1,emitedoc_2,emitedoc_3,emitedoc_4,emitedoc_5,emitedoc_6,emitedoc_99,TIPOTRAB,Identificacion_ideológica,PONDERADOR,PERCENTAGE,periodo
142,142,142,142,142,142,142,159158128,NSE D,NSE D,NSE D/E,35,De 25 a 39 años,SI,Mujer,15,Lima,150101,Lima Metropolitana,1,1,1,1,1,-1,Lima Metropolitana,1,Secundaria completa,Educacion Basica,Asalariado del sector privado,Trabajador dependiente,Aprueba,Tener una nueva Constitución, ,-1,El manejo de la economía del país, ,-1,No tiene,Desaprueba,Aprueba,Aprueba,En desacuerdo,Aprueba,Sí debe dar el voto de confianza,Mala,Igual,Mejor,Regular,Igual,Mejor,Izquierda,Desaprueba,1,1,1,2,2,1,2,3,0,0,1,0,0,0,0,2,Izquierda,1.5172,0.12395960577054352,OCTUBRE 2021
143,143,143,143,143,143,143,159158141,NSE D,NSE D,NSE D/E,29,De 25 a 39 años,SI,Hombre,15,Lima,150137,Lima Metropolitana,1,1,5,5,1,-1,Lima Metropolitana,1,Superior técnico completa,Educacion superior,Trabajador independiente con empleados,Trabajador independiente,Desaprueba,Que hará cambios en la economía, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Desaprueba,Aprueba,En desacuerdo,Desaprueba,Sí debe dar el voto de confianza,Regular,Mejor,Mejor,Regular,Mejor,Mejor,Derecha,Desaprueba,1,1,2,-1,-1,-1,-1,3,0,1,0,0,0,0,0,2,Derecha,1.5764,0.12879641611961826,OCTUBRE 2021
144,144,144,144,144,144,144,159158371,NSE B1,NSE B,NSE A/B,21,De 18 a 24 años,SI,Mujer,4,Arequipa,40109,Sur,7,2,-1,-1,2,1,Peru urbano,1,Superior universitaria incompleta,Educacion superior,Estudiante,No trabaja,Aprueba,Que una persona humilde sea Presidente del Perú, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Igual,Igual,Regular,Igual,Igual,Izquierda,-1,3,3,2,-1,-1,-1,-1,3, , , , , , , ,-1,Izquierda,0.8958,0.07318943768076251,OCTUBRE 2021
145,145,145,145,145,145,145,159158473,NSE C1,NSE C,NSE C,35,De 25 a 39 años,SI,Mujer,15,Lima,150132,Lima Metropolitana,1,1,5,5,1,-1,Lima Metropolitana,1,Secundaria completa,Educacion Basica,Asalariado del sector privado,Trabajador dependiente,Desaprueba,NS/NP, ,-1,El manejo de la economía del país, ,-1,Sí tiene,NS/NP,Aprueba,Desaprueba,De acuerdo,Desaprueba,Sí debe dar el voto de confianza,Mala,Peor,NS/NP,Muy mala,Peor,Mejor,Centro,Desaprueba,1,1,1,2,1,2,2,2,0,0,0,1,0,0,0,1,Centro,0.9716,0.07938251579663859,OCTUBRE 2021
146,146,146,146,146,146,146,159158615,NSE B1,NSE B,NSE A/B,40,De 40 a más años,SI,Hombre,4,Arequipa,40128,Sur,7,2,-1,-1,2,1,Peru urbano,1,Superior técnico incompleta,Educacion superior,Trabajador independiente con empleados,Trabajador independiente,Aprueba,NS/NP, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,Sí tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,NS/NP,Mejor,Regular,Igual,Mejor,Derecha,-1,1,1,1,1,1,2,2,2,0,1,0,0,0,0,0,1,Derecha,1.0231,0.08359021398882352,OCTUBRE 2021
147,147,147,147,147,147,147,159158735,NSE D,NSE D,NSE D/E,27,De 25 a 39 años,SI,Mujer,12,Tarma,120704,Centro,6,2,-1,-1,2,4,Peru rural,2,Secundaria incompleta,Educacion Basica,Ama de casa,No trabaja,Desaprueba,Que se preocupa por los que menos tienen, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Aprueba,Desaprueba,En desacuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Peor,Igual,Regular,Igual,Mejor,Izquierda,-1,2,2,1,2,1,1,2,3, , , , , , , ,-1,Izquierda,0.9862,0.08057537780840364,OCTUBRE 2021
148,148,148,148,148,148,148,159158736,NSE C1,NSE C,NSE C,49,De 40 a más años,SI,Mujer,15,Lima,150142,Lima Metropolitana,1,1,4,4,1,-1,Lima Metropolitana,1,Superior técnico incompleta,Educacion superior,Ama de casa,No trabaja,99,Que se preocupa por los que menos tienen, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Aprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Mejor,Mejor,Regular,Igual,Mejor,Derecha,Aprueba,1,1,1,2,2,1,2,3, , , , , , , ,-1,Derecha,1.0812,0.08833715117262829,OCTUBRE 2021
149,149,149,149,149,149,149,159158753,NSE E,NSE E,NSE D/E,25,De 25 a 39 años,SI,Hombre,6,Cajamarca,60109,Norte,5,2,-1,-1,2,4,Peru rural,2,Superior técnico completa,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,Desaprueba,Tener una nueva Constitución, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,Sí tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Mala,Igual,Igual,Mala,Peor,Peor,Izquierda,-1,3,3,2,-1,-1,-1,-1,3,0,0,0,0,0,1,0,2,Izquierda,1.0247,0.08372093859285257,OCTUBRE 2021
150,150,150,150,150,150,150,159158764,NSE B1,NSE B,NSE A/B,39,De 25 a 39 años,SI,Hombre,20,Morropón,200402,Norte,2,2,-1,-1,1,4,Peru urbano,1,Posgrado universitario,Educacion superior,Trabajador independiente con empleados,Trabajador independiente,Desaprueba,NS/NP, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Desaprueba,Aprueba,De acuerdo,Desaprueba,No debe dar el voto de confianza,Muy mala,Peor,Peor,Regular,Peor,Peor,Derecha,-1,1,1,1,2,2,1,2,3,0,0,1,0,0,0,0,2,Derecha,0.9194,0.07511762559019095,OCTUBRE 2021
151,151,151,151,151,151,151,159158787,NSE C2,NSE C,NSE C,50,De 40 a más años,SI,Hombre,15,Lima,150135,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Superior técnico completa,Educacion superior,No trabaja,No trabaja,Desaprueba,No tiene nada positivo, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Aprueba,Desaprueba,Aprueba,De acuerdo,Desaprueba,No debe dar el voto de confianza,Mala,Peor,Peor,Mala,Peor,Peor,Derecha,Aprueba,1,1,1,2,1,2,1,3, , , , , , , ,-1,Derecha,1.1234,0.09178501260389439,OCTUBRE 2021
152,152,152,152,152,152,152,159158806,NSE D,NSE D,NSE D/E,32,De 25 a 39 años,SI,Mujer,4,Arequipa,40112,Sur,7,2,-1,-1,2,1,Peru urbano,1,Secundaria completa,Educacion Basica,Asalariado del sector privado,Trabajador dependiente,Aprueba,Que se preocupa por los que menos tienen, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,No debe dar el voto de confianza,Regular,Igual,Igual,Regular,Igual,Igual,Centro,-1,2,2,1,2,2,1,2,3,0,0,0,0,0,1,0,2,Centro,0.8849,0.07229887631581464,OCTUBRE 2021
153,153,153,153,153,153,153,159158874,NSE A1,NSE A,NSE A/B,35,De 25 a 39 años,SI,Mujer,15,Lima,150141,Lima Metropolitana,1,1,2,2,1,-1,Lima Metropolitana,1,Posgrado universitario,Educacion superior,Trabajador independiente con empleados,Trabajador independiente,Aprueba,Que hará cambios en la economía, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,Sí tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Mala,Igual,Igual,Regular,Peor,Mejor,Izquierda,Desaprueba,1,1,1,1,1,2,2,2,0,0,1,0,0,0,0,1,Izquierda,0.4723,0.03858826905182421,OCTUBRE 2021
154,154,154,154,154,154,154,159158907,NSE C1,NSE C,NSE C,46,De 40 a más años,SI,Mujer,15,Huarochirí,150720,Centro,6,2,-1,-1,2,3,Peru urbano,1,Secundaria completa,Educacion Basica,Ama de casa,No trabaja,Desaprueba,No tiene nada positivo, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Aprueba,Aprueba,Desaprueba,De acuerdo,Desaprueba,Sí debe dar el voto de confianza,Regular,Peor,Peor,Regular,Peor,Peor,Centro,-1,1,1,1,2,2,1,2,3, , , , , , , ,-1,Centro,0.9847,0.0804528234921264,OCTUBRE 2021
155,155,155,155,155,155,155,159158989,NSE C1,NSE C,NSE C,44,De 40 a más años,SI,Hombre,15,Prov. Const. del Callao,70106,Lima Metropolitana,1,1,6,-1,1,-1,Lima Metropolitana,1,Secundaria completa,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,Desaprueba,No tiene nada positivo, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Aprueba,Aprueba,De acuerdo,Desaprueba,Sí debe dar el voto de confianza,Muy mala,Peor,Mejor,Mala,Peor,Igual,Derecha,-1,1,1,2,-1,-1,-1,-1,3,0,0,0,0,0,1,0,2,Derecha,1.1234,0.09178501260389439,OCTUBRE 2021
156,156,156,156,156,156,156,159159029,NSE D,NSE D,NSE D/E,35,De 25 a 39 años,SI,Mujer,8,Cusco,80106,Sur,7,2,-1,-1,2,1,Peru urbano,1,Superior universitaria completa,Educacion superior,Trabajador independiente con empleados,Trabajador independiente,Desaprueba,Que hará cambios en la economía, ,-1,El manejo de la economía del país, ,-1,No tiene,Desaprueba,Aprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Mala,Peor,Peor,Regular,Peor,Peor,Centro,-1,3,3,1,2,1,2,2,3,0,0,0,1,0,0,0,2,Centro,0.8849,0.07229887631581464,OCTUBRE 2021
157,157,157,157,157,157,157,159159748,NSE C2,NSE C,NSE C,38,De 25 a 39 años,SI,Mujer,11,Ica,110106,Sur,4,2,-1,-1,1,2,Peru urbano,1,Superior técnico completa,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,Desaprueba,Tener una nueva Constitución, ,-1,La falta de gente capacitada en el gobierno, ,-1,Sí tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,No debe dar el voto de confianza,Mala,Peor,Peor,Mala,Peor,Peor,Centro,-1,2,2,1,2,2,1,2,1,0,0,1,0,0,0,0,2,Centro,0.8849,0.07229887631581464,OCTUBRE 2021
158,158,158,158,158,158,158,159159886,NSE C1,NSE C,NSE C,25,De 25 a 39 años,SI,Hombre,20,Piura,200101,Norte,2,2,-1,-1,1,1,Peru urbano,1,Superior universitaria incompleta,Educacion superior,Estudiante,No trabaja,Desaprueba,No tiene nada positivo, ,-1,Que quiera hacer una Asamblea Constituyente, ,-1,No tiene,Aprueba,Desaprueba,Aprueba,En desacuerdo,Aprueba,Sí debe dar el voto de confianza,Mala,Peor,Igual,Regular,Peor,Igual,Derecha,-1,3,3,2,-1,-1,-1,-1,2, , , , , , , ,-1,Derecha,0.9194,0.07511762559019095,OCTUBRE 2021
159,159,159,159,159,159,159,159160217,NSE D,NSE D,NSE D/E,33,De 25 a 39 años,SI,Hombre,12,Huancayo,120101,Centro,6,2,-1,-1,2,1,Peru urbano,1,Superior universitaria incompleta,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Aprueba,Tener una nueva Constitución, ,-1,No tiene nada negativo, ,-1,NS/NP,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Igual,Mejor,Regular,Igual,Mejor,Izquierda,-1,1,1,1,2,2,1,2,1,0,0,0,0,0,1,0,2,Izquierda,0.9194,0.07511762559019095,OCTUBRE 2021
160,160,160,160,160,160,160,159160277,NSE A2,NSE A,NSE A/B,56,De 40 a más años,SI,Mujer,15,Huaura,150801,Centro,3,2,-1,-1,1,1,Peru urbano,1,Posgrado universitario,Educacion superior,Asalariado del sector estatal,Trabajador dependiente,Desaprueba,No tiene nada positivo, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Aprueba,Aprueba,NS/NP,Desaprueba,No debe dar el voto de confianza,Muy mala,Peor,Igual,Muy mala,Peor,Igual,Derecha,-1,1,1,1,1,1,2,2,2,0,0,0,1,0,0,0,1,Derecha,0.9847,0.0804528234921264,OCTUBRE 2021
161,161,161,161,161,161,161,159160346,NSE C1,NSE C,NSE C,51,De 40 a más años,SI,Hombre,15,Lima,150108,Lima Metropolitana,1,1,4,4,1,-1,Lima Metropolitana,1,Superior universitaria completa,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,Aprueba,Tener una nueva Constitución, ,-1,Su falta de liderazgo o capacidad para gobernar,"LA INESPERIENCIA,RECIEN ES NUEVO EN EL GOBIERNO",2,Sí tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Igual,Mejor,Regular,Igual,Mejor,Centro,Desaprueba,3,3,2,-1,-1,-1,-1,3,0,0,0,1,0,0,0,2,Centro,1.1234,0.09178501260389439,OCTUBRE 2021
162,162,162,162,162,162,162,159160458,NSE B1,NSE B,NSE A/B,71,De 40 a más años,SI,Hombre,20,Sullana,200601,Norte,2,2,-1,-1,1,1,Peru urbano,1,Secundaria completa,Educacion Basica,Jubilado,No trabaja,Desaprueba,Tener una nueva Constitución, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,NS/NP,Desaprueba,Sí debe dar el voto de confianza,Regular,Mejor,Peor,Regular,Igual,Igual,Derecha,-1,1,1,1,1,1,2,1,3, , , , , , , ,-1,Derecha,1.0231,0.08359021398882352,OCTUBRE 2021
163,163,163,163,163,163,163,159160503,NSE E,NSE E,NSE D/E,22,De 18 a 24 años,SI,Hombre,14,Lambayeque,140304,Norte,2,2,-1,-1,1,5,Peru rural,2,Secundaria completa,Educacion Basica,Asalariado del sector privado,Trabajador dependiente,Aprueba,Tener una nueva Constitución, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Aprueba,Desaprueba,Aprueba,En desacuerdo,Aprueba,Sí debe dar el voto de confianza,Buena,Mejor,Mejor,Regular,Igual,Mejor,Izquierda,-1,3,3,1,1,2,2,2,2,0,0,0,1,0,0,0,1,Izquierda,1.0374,0.08475856513733314,OCTUBRE 2021
164,164,164,164,164,164,164,159160511,NSE C1,NSE C,NSE C,21,De 18 a 24 años,SI,Mujer,15,Lima,150110,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Secundaria completa,Educacion Basica,Estudiante,No trabaja,99,NS/NP, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Peor,Igual,Regular,Peor,Igual,Derecha,Desaprueba,3,3,1,1,2,2,1,2, , , , , , , ,-1,Derecha,0.9837,0.08037112061460826,OCTUBRE 2021
165,165,165,165,165,165,165,159160523,NSE C1,NSE C,NSE C,22,De 18 a 24 años,SI,Mujer,22,San Martín,220909,Selva,8,2,-1,-1,3,2,Peru urbano,1,Superior universitaria incompleta,Educacion superior,Estudiante,No trabaja,Aprueba,Tener una nueva Constitución, ,-1,El manejo de la economía del país, ,-1,Sí tiene,Desaprueba,NS/NP,NS/NP,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Buena,Igual,Mejor,Regular,Igual,Mejor,Centro,-1,1,1,2,-1,-1,-1,-1,3, , , , , , , ,-1,Centro,0.8958,0.07318943768076251,OCTUBRE 2021
166,166,166,166,166,166,166,159160724,NSE B1,NSE B,NSE A/B,50,De 40 a más años,SI,Hombre,13,Trujillo,130101,Norte,2,2,-1,-1,1,1,Peru urbano,1,Posgrado universitario,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,Desaprueba,No tiene nada positivo, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Desaprueba,Sí debe dar el voto de confianza,Regular,Peor,Mejor,Regular,Peor,Igual,Derecha,-1,1,1,1,2,1,2,2,3,1,1,0,0,0,0,0,2,Derecha,1.0231,0.08359021398882352,OCTUBRE 2021
167,167,167,167,167,167,167,159161288,NSE C2,NSE C,NSE C,26,De 25 a 39 años,SI,Mujer,13,Santiago de Chuco,131002,Norte,5,2,-1,-1,2,1,Peru urbano,1,Superior técnico completa,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Aprueba,Tener una nueva Constitución, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,No debe dar el voto de confianza,Mala,Peor,Mejor,Muy mala,Peor,Mejor,Izquierda,-1,1,1,2,-1,-1,-1,-1,3,0,0,1,0,0,0,0,2,Izquierda,0.8849,0.07229887631581464,OCTUBRE 2021
168,168,168,168,168,168,168,159161379,NSE C1,NSE C,NSE C,41,De 40 a más años,SI,Mujer,15,Lima,150133,Lima Metropolitana,1,1,4,4,1,-1,Lima Metropolitana,1,Secundaria completa,Educacion Basica,Asalariado del sector estatal,Trabajador dependiente,Desaprueba,NS/NP, ,-1,Su falta de liderazgo o capacidad para gobernar,SU IGNORANCIA,2,No tiene,NS/NP,Aprueba,Desaprueba,De acuerdo,Desaprueba,No debe dar el voto de confianza,Muy mala,Peor,Peor,Muy mala,Peor,NS/NP,Izquierda,Desaprueba,1,1,2,-1,-1,-1,-1,3,0,0,0,0,0,1,0,2,Izquierda,1.0812,0.08833715117262829,OCTUBRE 2021
169,169,169,169,169,169,169,159161462,NSE C1,NSE C,NSE C,23,De 18 a 24 años,SI,Mujer,15,Lima,150108,Lima Metropolitana,1,1,4,4,1,-1,Lima Metropolitana,1,Superior universitaria completa,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Aprueba,Que se preocupa por los que menos tienen, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Igual,Mejor,Regular,Peor,Mejor,Centro,Desaprueba,3,3,2,-1,-1,-1,-1,3,0,0,0,0,0,1,0,2,Centro,0.9837,0.08037112061460826,OCTUBRE 2021
170,170,170,170,170,170,170,159161577,NSE C2,NSE C,NSE C,74,De 40 a más años,SI,Hombre,25,nan,250401,Selva,8,2,-1,-1,3,3,Peru urbano,1,Primaria completa,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,Aprueba,Que se preocupa por los que menos tienen, ,-1,No tiene nada negativo, ,-1,Sí tiene,Desaprueba,Aprueba,Desaprueba,NS/NP,Aprueba,Sí debe dar el voto de confianza,Regular,Mejor,Mejor,Regular,Mejor,Mejor,Derecha,-1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,1,Derecha,1.0231,0.08359021398882352,OCTUBRE 2021
171,171,171,171,171,171,171,159161638,NSE C1,NSE C,NSE C,53,De 40 a más años,SI,Mujer,14,Lambayeque,140308,Norte,2,2,-1,-1,1,2,Peru urbano,1,Superior técnico completa,Educacion superior,Asalariado del sector estatal,Trabajador dependiente,99,Que se preocupa por los que menos tienen, ,-1,Su falta de liderazgo o capacidad para gobernar,"ES POCO COMUNICATIVO,QUE ES CALLADO",2,No tiene,Aprueba,NS/NP,NS/NP,NS/NP,Desaprueba,Sí debe dar el voto de confianza,Regular,Igual,Peor,Mala,Igual,NS/NP,Centro,-1,2,2,1,99,1,2,2,2,0,0,0,1,0,0,0,1,Centro,0.9847,0.0804528234921264,OCTUBRE 2021
172,172,172,172,172,172,172,159161770,NSE B2,NSE B,NSE A/B,45,De 40 a más años,SI,Hombre,14,Chiclayo,140105,Norte,2,2,-1,-1,1,1,Peru urbano,1,Superior técnico completa,Educacion superior,Trabajador independiente con empleados,Trabajador independiente,Aprueba,Otro,LA LUCHA CONTRA LA CORRUPCION,6,Su falta de liderazgo o capacidad para gobernar, ,-1,Sí tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,No debe dar el voto de confianza,Mala,Igual,Peor,Regular,Igual,Peor,Centro,-1,1,1,2,-1,-1,-1,-1,1,1,0,1,0,0,0,0,2,Centro,1.0231,0.08359021398882352,OCTUBRE 2021
173,173,173,173,173,173,173,159161784,NSE E,NSE E,NSE D/E,35,De 25 a 39 años,SI,Hombre,14,Ferreñafe,140201,Norte,2,2,-1,-1,1,2,Peru urbano,1,Secundaria incompleta,Educacion Basica,Asalariado del sector privado,Trabajador dependiente,Desaprueba,Que se preocupa por los que menos tienen, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,Sí debe dar el voto de confianza,Regular,Peor,Igual,Mala,Peor,Igual,Izquierda,-1,4,3,1,2,1,2,2,1,0,0,0,1,0,0,0,1,Izquierda,0.9194,0.07511762559019095,OCTUBRE 2021
174,174,174,174,174,174,174,159161791,NSE E,NSE E,NSE D/E,65,De 40 a más años,SI,Hombre,15,Huaura,150805,Centro,3,2,-1,-1,1,3,Peru urbano,1,Secundaria completa,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,Desaprueba,Que se preocupa por los que menos tienen, ,-1,La falta de gente capacitada en el gobierno, ,-1,Sí tiene,Desaprueba,Aprueba,Aprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Igual,Igual,Regular,Peor,Peor,Centro,-1,3,3,2,-1,-1,-1,-1,3,0,0,0,0,0,1,0,2,Centro,1.0231,0.08359021398882352,OCTUBRE 2021
175,175,175,175,175,175,175,159161804,NSE C2,NSE C,NSE C,36,De 25 a 39 años,SI,Mujer,15,Lima,150117,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Secundaria completa,Educacion Basica,Trabajador independiente sin empleados,Trabajador independiente,Aprueba,Tener una nueva Constitución, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,Sí tiene,Desaprueba,Desaprueba,Desaprueba,De acuerdo,NS/NP,Sí debe dar el voto de confianza,Regular,Igual,Mejor,Regular,Peor,Mejor,Derecha,Desaprueba,1,1,1,2,1,1,2,3,0,0,0,0,0,1,0,2,Derecha,0.9716,0.07938251579663859,OCTUBRE 2021
176,176,176,176,176,176,176,159162180,NSE C1,NSE C,NSE C,32,De 25 a 39 años,SI,Hombre,15,Lima,150103,Lima Metropolitana,1,1,5,5,1,-1,Lima Metropolitana,1,Superior técnico completa,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Desaprueba,No tiene nada positivo, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,No debe dar el voto de confianza,Regular,Peor,Peor,Regular,Igual,Igual,Centro,Aprueba,4,3,1,1,1,2,2,2,0,0,0,1,0,0,0,1,Centro,1.0095,0.08247905485457664,OCTUBRE 2021
177,177,177,177,177,177,177,159162301,NSE E,NSE E,NSE D/E,40,De 40 a más años,SI,Hombre,6,San Miguel,61104,Norte,5,2,-1,-1,2,4,Peru rural,2,Secundaria completa,Educacion Basica,Agricultor,Trabajador independiente,99,Que se preocupa por los que menos tienen, ,-1,El manejo de la economía del país, ,-1,Sí tiene,Desaprueba,Aprueba,Aprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Mala,Peor,Igual,Regular,Peor,Mejor,Centro,-1,1,1,1,2,1,1,2,3,0,0,0,0,0,1,0,2,Centro,1.1402,0.0931576209461994,OCTUBRE 2021
178,178,178,178,178,178,178,159162317,NSE E,NSE E,NSE D/E,32,De 25 a 39 años,SI,Mujer,13,Chepén,130401,Norte,2,2,-1,-1,1,4,Peru rural,2,Secundaria completa,Educacion Basica,Ama de casa,No trabaja,Aprueba,Que se preocupa por los que menos tienen, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,Sí debe dar el voto de confianza,Regular,Igual,Peor,Regular,Igual,Peor,Izquierda,-1,2,2,1,2,2,1,2,3, , , , , , , ,-1,Izquierda,0.9862,0.08057537780840364,OCTUBRE 2021
179,179,179,179,179,179,179,159162452,NSE C1,NSE C,NSE C,39,De 25 a 39 años,SI,Mujer,15,Lima,150125,Lima Metropolitana,1,1,3,3,1,-1,Lima Metropolitana,1,Superior universitaria incompleta,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Aprueba,Que hará cambios en la economía, ,-1,La falta de gente capacitada en el gobierno, ,-1,Sí tiene,Desaprueba,Aprueba,Desaprueba,De acuerdo,Aprueba,Sí debe dar el voto de confianza,Regular,Igual,Mejor,Regular,Igual,Mejor,Centro,Desaprueba,4,3,1,2,1,2,2,1,0,0,0,1,0,0,0,1,Centro,0.9716,0.07938251579663859,OCTUBRE 2021
180,180,180,180,180,180,180,159162643,NSE E,NSE E,NSE D/E,33,De 25 a 39 años,SI,Mujer,12,Huancayo,120107,Centro,6,2,-1,-1,2,4,Peru rural,2,Superior técnico completa,Educacion superior,Ama de casa,No trabaja,99,Que se preocupa por los que menos tienen, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,No debe dar el voto de confianza,Muy mala,Igual,Peor,Mala,Igual,Igual,Centro,-1,2,2,2,-1,-1,-1,-1,3, , , , , , , ,-1,Centro,0.9862,0.08057537780840364,OCTUBRE 2021
181,181,181,181,181,181,181,159162907,NSE E,NSE E,NSE D/E,29,De 25 a 39 años,SI,Mujer,8,Canchis,80601,Sur,7,2,-1,-1,2,2,Peru urbano,1,Superior técnico completa,Educacion superior,Trabajador independiente sin empleados,Trabajador independiente,Aprueba,Que una persona humilde sea Presidente del Perú, ,-1,Su falta de liderazgo o capacidad para gobernar, ,-1,No tiene,Desaprueba,Desaprueba,Desaprueba,En desacuerdo,Desaprueba,No debe dar el voto de confianza,Regular,NS/NP,Peor,Mala,Peor,Peor,Derecha,-1,2,2,1,2,2,1,2,3,0,0,0,0,0,1,0,2,Derecha,0.8849,0.07229887631581464,OCTUBRE 2021
182,182,182,182,182,182,182,159163070,NSE B2,NSE B,NSE A/B,51,De 40 a más años,SI,Mujer,15,Lima,150132,Lima Metropolitana,1,1,5,5,1,-1,Lima Metropolitana,1,Superior universitaria incompleta,Educacion superior,Asalariado del sector privado,Trabajador dependiente,Desaprueba,NS/NP, ,-1,La falta de gente capacitada en el gobierno, ,-1,No tiene,Aprueba,NS/NP,Desaprueba,NS/NP,Desaprueba,No debe dar el voto de confianza,Regular,Peor,Igual,Regular,Peor,Peor,Centro,Aprueba,2,2,1,2,1,2,2,2,0,0,0,1,0,0,0,1,Centro,0.9254,0.07560784285529987,OCTUBRE 2021
